ISO3,Country,hdicode,region,hdi_rank_2021,co2_prod_1990,co2_prod_1991,co2_prod_1992,co2_prod_1993,co2_prod_1994,co2_prod_1995,co2_prod_1996,co2_prod_1997,co2_prod_1998,co2_prod_1999,co2_prod_2000,co2_prod_2001,co2_prod_2002,co2_prod_2003,co2_prod_2004,co2_prod_2005,co2_prod_2006,co2_prod_2007,co2_prod_2008,co2_prod_2009,co2_prod_2010,co2_prod_2011,co2_prod_2012,co2_prod_2013,co2_prod_2014,co2_prod_2015,co2_prod_2016,co2_prod_2017,co2_prod_2018,co2_prod_2019,co2_prod_2020,co2_prod_2021,hdicode_gnipc,region_gnipc,hdi_rank_2021_gnipc,gnipc_1990,gnipc_1991,gnipc_1992,gnipc_1993,gnipc_1994,gnipc_1995,gnipc_1996,gnipc_1997,gnipc_1998,gnipc_1999,gnipc_2000,gnipc_2001,gnipc_2002,gnipc_2003,gnipc_2004,gnipc_2005,gnipc_2006,gnipc_2007,gnipc_2008,gnipc_2009,gnipc_2010,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021,hdicode_hdi,region_hdi,hdi_rank_2021_hdi,hdi_1990,hdi_1991,hdi_1992,hdi_1993,hdi_1994,hdi_1995,hdi_1996,hdi_1997,hdi_1998,hdi_1999,hdi_2000,hdi_2001,hdi_2002,hdi_2003,hdi_2004,hdi_2005,hdi_2006,hdi_2007,hdi_2008,hdi_2009,hdi_2010,hdi_2011,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,hdi_2018,hdi_2019,hdi_2020,hdi_2021,hdicode_le,region_le,hdi_rank_2021_le,le_1990,le_1991,le_1992,le_1993,le_1994,le_1995,le_1996,le_1997,le_1998,le_1999,le_2000,le_2001,le_2002,le_2003,le_2004,le_2005,le_2006,le_2007,le_2008,le_2009,le_2010,le_2011,le_2012,le_2013,le_2014,le_2015,le_2016,le_2017,le_2018,le_2019,le_2020,le_2021
AFG,Afghanistan,Low,SA,180.0,0.209727313,0.182524769,0.095232862,0.084284849,0.075053905,0.067943421,0.061787143,0.056005215,0.052143695,0.040132679,0.036461584,0.036930645,0.046529388,0.050082617,0.035959937,0.050802445,0.061869518,0.083710521,0.151484676,0.237367297,0.287738705,0.401953514,0.327921976,0.261571351,0.232967187,0.229679525,0.190616791,0.188995444,0.22449203,0.319299157,0.312376488,0.312376488,Low,SA,180.0,2684.550019,2276.289409,2059.868084,1525.533426,1087.96189,1339.087122,1332.30721,1230.26129,1149.90239,1071.800919,984.9974338,894.0245886,1267.628852,1401.324413,1384.695729,1435.19173,1518.767846,1811.166659,1753.066993,1884.200863,1938.315627,1999.653042,2125.862821,2193.553936,2178.507021,2101.589319,2077.566899,2085.487571,2054.939895,2097.88945,1997.852149,1824.190915,Low,SA,180.0,0.273,0.279,0.287,0.297,0.292,0.31,0.319,0.323,0.324,0.332,0.335,0.337,0.362,0.376,0.392,0.4,0.409,0.424,0.43,0.44,0.448,0.456,0.466,0.474,0.479,0.478,0.481,0.482,0.483,0.488,0.483,0.478,Low,SA,180.0,45.9672,46.6631,47.5955,51.4664,51.4945,52.5442,53.2433,53.6342,52.9431,54.8464,55.2978,55.7981,56.4538,57.3445,57.9436,58.3608,58.6844,59.1113,59.8515,60.3636,60.8508,61.4191,61.923,62.4167,62.5451,62.6587,63.1361,63.016,63.081,63.5645,62.5751,61.9824
AGO,Angola,Medium,SSA,148.0,0.429585937,0.413433009,0.40801538,0.439646536,0.286179828,0.785137201,0.723852747,0.494076954,0.473215418,0.575425435,0.580410214,0.570697567,0.719093563,0.49604119,0.996932266,0.977996771,1.09686395,1.194779541,1.174720223,1.224334013,1.235836444,1.252224289,1.346212079,1.277247837,1.235861225,1.205735928,1.088803397,0.953168429,0.791170676,0.737991588,0.675409733,0.675409733,Medium,SSA,148.0,4845.706901,5405.349257,2073.90239,2034.215197,1557.198363,3411.90693,3372.994265,3980.79539,3902.583775,3524.189975,3690.604857,3900.710372,4659.954466,4684.384828,4929.945484,5390.699648,5672.126464,6359.181376,6490.787737,6999.175405,6911.740241,6885.53639,7280.845666,7478.104777,7704.231949,7652.656486,7189.426672,6861.575738,6381.521946,6082.746624,5593.14206,5465.617791,Medium,SSA,148.0,,,,,,,,,,0.364,0.375,0.386,0.403,0.42,0.433,0.447,0.459,0.475,0.486,0.5,0.51,0.526,0.541,0.552,0.563,0.582,0.596,0.597,0.595,0.595,0.59,0.586,Medium,SSA,148.0,41.8933,43.8127,42.2088,42.1009,43.4217,45.8491,46.0329,46.3065,45.057,45.3858,46.0236,46.5905,47.3865,49.6173,50.592,51.5699,52.3688,53.6419,54.6327,55.7516,56.7258,57.5961,58.6231,59.3074,60.0397,60.6546,61.0923,61.6798,62.1438,62.4484,62.2612,61.6434
ALB,Albania,High,ECA,67.0,1.656901718,1.288960628,0.768726936,0.724712295,0.607846322,0.663842752,0.643237487,0.494104044,0.560680905,0.952766151,0.960136365,1.029074954,1.199000572,1.357238224,1.321688484,1.360271607,1.254806937,1.261998195,1.422796584,1.430821164,1.508841688,1.717787934,1.601834668,1.697126858,1.940610537,1.555329452,1.556278015,1.838241795,1.642152952,1.688177757,1.575753953,1.575753953,High,ECA,67.0,4742.215529,3358.087827,3080.746654,3538.885493,3940.312045,4583.051036,5044.975175,4496.163681,4952.596957,5595.612697,6065.195257,6645.348336,6920.555095,7341.564007,7756.648389,8197.993857,8814.501734,9399.46896,9962.442236,10153.09601,10643.05764,11056.64517,11146.26303,11552.98247,11691.64829,12016.2976,12484.6242,12802.14831,13302.70596,13485.31124,12996.76291,14131.11039,High,ECA,67.0,0.647,0.629,0.614,0.617,0.624,0.634,0.645,0.642,0.657,0.669,0.677,0.684,0.689,0.696,0.7,0.711,0.718,0.73,0.736,0.741,0.754,0.766,0.778,0.785,0.792,0.795,0.798,0.802,0.806,0.81,0.794,0.796,High,ECA,67.0,73.1439,73.3776,73.7148,73.9391,74.1313,74.3616,74.5923,73.9039,74.9899,75.1828,75.4043,75.6388,75.8899,76.1421,76.3761,76.6208,76.8162,77.5491,77.6529,77.781,77.9359,78.0919,78.064,78.1226,78.4075,78.6441,78.8602,79.0473,79.1838,79.2825,76.9893,76.4626
AND,Andorra,Very High,,40.0,7.461153204,7.176510032,6.906330662,6.730576832,6.488823651,6.656538763,7.059353636,7.233820946,7.654578903,7.968929626,8.012693072,7.780549739,7.584405202,7.30972097,7.352578564,7.293925216,6.740582519,6.514077693,6.422575183,6.116524395,6.117538396,5.862657767,5.91201912,5.896947037,5.828083774,5.964928023,6.067376483,6.043168271,6.42339558,6.505535247,6.034944671,6.034944671,Very High,,40.0,43773.1465,43175.1476,41935.7872,40085.31589,39923.54588,40270.7679,41014.57879,44756.59597,46319.68664,48047.57776,47849.49243,50235.66715,50489.27491,52529.42795,54521.78059,55553.50369,56696.60874,56399.72175,52516.10603,49377.46694,48410.27165,48812.02903,47126.81461,46385.0952,48483.72032,49936.87454,52267.73832,52650.22576,53483.30663,54465.0474,47878.66664,51166.62661,Very High,,40.0,,,,,,,,,,,0.818,0.825,0.832,0.841,0.833,0.833,0.848,0.847,0.85,0.848,0.848,0.849,0.869,0.864,0.871,0.867,0.871,0.868,0.872,0.873,0.848,0.858,Very High,,40.0,78.4063,77.9805,80.3241,78.6633,82.638,78.9616,80.334,80.9439,79.4259,81.3173,80.9193,81.6857,82.2368,83.9209,80.0836,81.7599,82.9664,82.6594,82.6982,82.752,82.8156,82.8975,82.9166,82.9343,82.9483,82.9534,82.9671,82.9803,82.9923,83.0039,79.0234,80.3684
ARE,United Arab Emirates,Very High,AS,26.0,28.2776718,29.25602676,28.13451859,30.17091866,31.64455835,28.98952006,28.66139766,27.36461775,28.67983026,26.14393497,35.66843923,30.45702647,24.05966235,28.45383482,27.47938465,24.95032393,22.96858556,21.60277187,21.71803122,20.90336288,21.12537468,21.57104173,22.0473646,22.3301163,21.91483231,23.38178108,22.93208617,17.79568752,16.01124042,15.78070133,15.19333592,15.19333592,Very High,AS,26.0,102433.136,96250.29036,93043.47737,92505.3311,96784.42694,101303.2758,101490.2439,103567.0353,99915.7695,98569.19252,104640.2807,103519.0537,96736.92556,97761.53732,98236.07759,92443.55639,88502.51225,79459.26304,69814.63137,59017.26106,54911.24407,56152.06467,57445.95475,60005.69536,62573.50531,65577.51224,66881.32974,67667.50846,67195.09523,68590.90094,63016.40122,62573.59181,Very High,AS,26.0,0.728,0.739,0.742,0.748,0.755,0.762,0.767,0.773,0.779,0.787,0.796,0.8,0.804,0.814,0.818,0.822,0.827,0.831,0.834,0.833,0.835,0.84,0.846,0.852,0.859,0.865,0.87,0.897,0.909,0.92,0.912,0.911,Very High,AS,26.0,71.9004,72.2414,72.3062,72.5213,72.5982,72.6945,72.7674,72.9367,73.0658,73.6697,74.38,74.6356,74.901,76.2223,76.4532,76.6825,76.9087,77.1289,77.4877,78.003,78.3335,78.5168,78.7155,78.8528,79.0442,79.2232,79.3347,79.5036,79.6274,79.7262,78.9457,78.7104
ARG,Argentina,Very High,LAC,47.0,3.436043385,3.552274857,3.615658722,3.467091997,3.552892636,3.668435637,3.823431596,3.860107244,3.866847603,4.038835647,3.861005191,3.594944496,3.301128618,3.5347476,4.079900089,4.150733716,4.444121715,4.390799937,4.693244738,4.420377371,4.566075714,4.604828112,4.591399834,4.505954707,4.42467432,4.466724129,4.389426792,4.274395193,4.082391913,3.741917524,3.473291552,3.473291552,Very High,LAC,47.0,13597.68636,14803.99888,15940.72602,17132.68448,17874.84399,17091.77126,17782.84547,18984.60422,19427.08332,18535.78094,18180.44981,17153.2977,14727.85071,16057.21074,16058.54354,17271.06449,20131.40256,21872.98639,22558.47112,20884.44997,22734.96712,23944.3551,23557.51314,23915.41972,23087.86964,23508.76738,22694.2851,22996.67142,21924.73119,21197.74104,19178.33184,20925.26814,Very High,LAC,47.0,0.723,0.73,0.735,0.739,0.744,0.745,0.751,0.756,0.762,0.773,0.779,0.784,0.785,0.793,0.798,0.802,0.814,0.817,0.825,0.827,0.834,0.841,0.843,0.845,0.846,0.848,0.847,0.851,0.85,0.852,0.84,0.842,Very High,LAC,47.0,71.7837,72.319,72.4295,72.5646,73.1725,73.1333,73.3066,73.0899,73.4737,73.7219,73.926,74.1864,74.408,74.0801,74.8549,75.1388,75.4326,75.0057,75.6411,75.9359,75.7208,76.124,76.4669,76.4908,76.7549,76.7602,76.3077,76.833,76.9994,77.2845,75.8921,75.3899
ARM,Armenia,High,ECA,85.0,2.533031897,2.079247804,1.702936868,0.765660811,0.826301814,1.067090038,0.819197903,1.043443068,1.092808636,0.987205659,1.137415376,1.15800146,1.014114143,1.145022486,1.230104775,1.467898402,1.487878033,1.739128656,1.917308257,1.510789822,1.478007826,1.727388965,1.993007502,1.910209457,1.924214628,1.869492708,1.772052655,1.880133429,1.973679976,1.869270735,1.987788379,1.987788379,High,ECA,85.0,5210.201884,4633.9383,2741.695896,2560.861392,2752.65061,3097.536757,3334.672127,3596.499376,3778.688421,3923.756144,4178.388592,4602.441726,5264.791554,6031.859191,6753.741256,7747.421747,8881.593116,10262.08008,11125.75363,9428.797679,9745.427269,10072.89566,10830.55372,11351.53875,11518.60475,11774.34934,11570.46772,12541.16263,12933.83405,13847.90825,12454.14508,13157.9939,High,ECA,85.0,0.656,0.649,0.618,0.616,0.62,0.627,0.632,0.641,0.654,0.657,0.662,0.666,0.676,0.686,0.694,0.707,0.721,0.738,0.742,0.741,0.746,0.75,0.755,0.76,0.764,0.766,0.765,0.768,0.771,0.778,0.757,0.759,High,ECA,85.0,68.8209,68.6431,68.6266,68.8415,69.0725,69.3108,69.7828,69.9098,70.5142,70.2565,70.6236,70.932,71.0179,71.4356,71.4205,71.7922,71.9868,72.3271,72.3985,72.8125,73.1597,73.3045,73.454,73.6759,74.0577,74.4361,74.6639,74.9059,75.0645,75.4386,72.173,72.0431
ATG,Antigua and Barbuda,High,LAC,71.0,3.515864893,3.353638329,3.239440989,3.286559132,3.216772811,3.254696374,3.393897938,3.576927368,3.7028843,3.778155717,3.856030309,3.843703051,4.211763203,4.43556116,4.560844453,4.587614313,4.651770168,4.840168519,4.891272527,5.110783206,5.16131231,4.967227992,5.065867336,5.044582368,4.987575895,5.129854862,5.194071535,5.145138641,5.175207195,5.008031467,4.395122997,4.395122997,High,LAC,71.0,13560.30944,14154.41386,14185.23142,14895.35744,15516.76116,14501.13254,15209.58976,15843.65803,16310.15498,16557.38996,16065.83719,15678.54545,15586.60406,16396.23817,16972.51905,18213.73908,20253.5277,21792.18713,21504.71644,18698.75383,17233.05965,16539.63424,16745.79664,16722.97555,17119.31079,17679.66135,18421.76805,18775.95101,19857.12506,20600.95888,16265.29515,16792.36595,High,LAC,71.0,,,,,,,,,,,,,,,,,,0.802,0.801,0.795,0.79,0.783,0.787,0.787,0.789,0.791,0.794,0.795,0.798,0.8,0.788,0.788,High,LAC,71.0,73.4922,73.4354,73.4168,73.4819,73.5912,73.6363,73.8291,73.9603,74.0413,74.3467,74.6058,75.0781,75.5357,75.4778,75.6721,75.8254,75.7647,76.1311,76.4103,76.6694,76.8195,77.1038,77.3502,77.5834,77.8577,77.9127,78.1516,78.2683,78.5112,78.6912,78.8406,78.4968
AUS,Australia,Very High,,5.0,16.47140133,16.39813628,16.45381873,16.54952607,16.86006186,17.11895366,17.39113655,17.79005781,18.2222369,18.44770432,18.52517591,18.77889343,18.92201107,19.01905029,19.45538877,19.20860479,19.35539488,19.21585818,19.20343074,18.45083211,18.25949272,17.98490913,17.58062846,16.90699079,16.92009349,16.85069952,17.14339271,16.87035228,16.70811553,16.44699216,15.36837971,15.36837971,Very High,,5.0,29069.15488,28846.41579,30007.87767,30994.67247,31444.1912,32280.32494,33260.0375,34482.04196,35853.05196,36955.25519,37296.64145,38413.32271,39098.35275,40207.44158,40599.52063,41039.08996,41648.29006,42531.66846,42767.77538,42644.38741,42840.45928,44205.31566,44878.41764,45260.60917,45851.64201,46307.57617,46558.17827,47085.22714,47487.64407,47312.192,47078.24446,49238.43335,Very High,,5.0,0.865,0.867,0.869,0.873,0.873,0.882,0.884,0.887,0.891,0.894,0.896,0.9,0.902,0.906,0.908,0.911,0.914,0.915,0.919,0.921,0.923,0.926,0.93,0.929,0.931,0.933,0.935,0.937,0.941,0.941,0.947,0.951,Very High,,5.0,77.0443,77.4831,77.4765,78.0098,77.8558,78.2619,78.3492,78.6317,79.0275,79.2855,79.6309,80.0165,80.0639,80.4549,80.7512,81.1126,81.2822,81.2603,81.4589,81.7661,82.055,82.1336,82.3456,82.6041,82.5677,82.6552,82.8707,83.0006,83.3871,83.11,84.3239,84.5265
AUT,Austria,Very High,,25.0,8.045120443,8.457574786,7.69212302,7.686282182,7.679979223,8.011292945,8.400654888,8.372107325,8.318192276,8.152897618,8.196373504,8.661506878,8.844277865,9.473079992,9.452335792,9.579761681,9.268958449,8.91259851,8.808010327,8.036965061,8.561324213,8.267426715,7.911256663,7.919250031,7.447394806,7.645373825,7.684141657,7.89112032,7.48650267,7.589237956,6.732425105,6.732425105,Very High,,25.0,38902.26267,39777.96789,40438.79593,40348.79883,40981.36293,41623.42655,42493.16783,43139.89851,44553.74381,45450.38304,47031.30264,47170.8938,48192.81367,48499.13214,49555.32049,50119.4083,51755.56802,53226.17902,54019.90627,51759.08206,52538.42144,53124.04133,52887.1943,52625.83517,52720.29769,52450.23877,53662.57417,53665.02668,54587.74445,55323.03915,51574.18306,53618.67138,Very High,,25.0,0.825,0.829,0.835,0.84,0.845,0.849,0.853,0.857,0.863,0.866,0.871,0.876,0.879,0.881,0.886,0.889,0.893,0.896,0.898,0.898,0.902,0.905,0.906,0.905,0.909,0.91,0.915,0.916,0.917,0.919,0.913,0.916,Very High,,25.0,75.7396,75.7931,75.9931,76.2258,76.5425,76.7766,77.0268,77.4292,77.7833,77.956,78.2358,78.7192,78.8469,78.8496,79.3632,79.521,79.9655,80.1672,80.3639,80.207,80.4643,80.8285,80.841,81.0783,81.3903,81.1594,81.5925,81.6391,81.6862,81.9077,81.5036,81.5797
